rno,level,lose,point,profileIconId,summonerName,tier,win
514,199,1191,641,3542,AmandaAvaKoci,GRANDMASTER,1217
515,266,526,641,1387,내일이안온다면,GRANDMASTER,572
516,393,710,640,1594,함알,GRANDMASTER,751
517,104,496,640,25,zzbb2,GRANDMASTER,551
518,190,273,640,3840,CharmantPoro,GRANDMASTER,421
519,290,331,640,3839,HappyCats,GRANDMASTER,387
520,395,988,639,4786,kfo,GRANDMASTER,1035
521,55,116,636,4783,Maile1,GRANDMASTER,208
522,143,809,635,4842,화내지마1,GRANDMASTER,859
523,456,730,634,4025,GenGClid,GRANDMASTER,782
524,57,137,632,4832,toxicccc,GRANDMASTER,187
525,561,1564,631,4831,BRB로머,GRANDMASTER,1603
526,301,1106,631,4413,zheduibai,GRANDMASTER,1132
527,73,243,631,776,살퀸레,GRANDMASTER,357
528,84,251,631,4832,xiva,GRANDMASTER,294
529,387,729,628,4156,다시일어낭,GRANDMASTER,785
530,249,1472,627,4659,leileixiaozhu,GRANDMASTER,1527
531,140,738,627,2074,Plume777,GRANDMASTER,846
532,445,688,627,4764,안녕맬,GRANDMASTER,725
533,381,304,625,576,포스텍19오승준,GRANDMASTER,355
534,287,304,625,4695,IgNar,GRANDMASTER,337
535,162,931,618,4535,Haithegioi,GRANDMASTER,945
536,55,138,618,29,블미,GRANDMASTER,207
537,407,794,616,3,킹갓황샘,GRANDMASTER,839
538,190,330,616,4661,DutchCoffee,GRANDMASTER,393
539,158,668,615,4639,Badad,GRANDMASTER,744
540,142,496,615,3890,DGAThanatos,GRANDMASTER,663
541,99,386,614,4405,boom1igei,GRANDMASTER,444
542,438,862,613,23,도법이자연스럽다,GRANDMASTER,892
543,318,461,613,4295,Lehends,GRANDMASTER,512
544,249,1076,612,4832,혼자만의시간1,GRANDMASTER,1104
545,342,649,612,3229,1liiLlili1iilI,GRANDMASTER,680
546,100,439,611,4655,Joyzzz,GRANDMASTER,519
547,203,1149,610,3459,EDGJUNJIA,GRANDMASTER,1220
548,205,522,610,4244,나는매우슬프다,GRANDMASTER,543
549,115,183,610,4379,달인카직스,GRANDMASTER,193
550,144,836,609,4783,chidaodebianjing,GRANDMASTER,936
551,121,538,609,4838,xxxss,GRANDMASTER,583
552,108,551,608,4832,BlackrAbb1t,GRANDMASTER,595
553,488,534,608,4561,미도리야이채환,GRANDMASTER,584
554,74,272,608,29,samDzz,GRANDMASTER,305
555,261,936,607,4086,BRB루카럭스,GRANDMASTER,982
556,89,185,607,7,sksmsdnjself,GRANDMASTER,204
557,406,1497,605,4418,gbzj,GRANDMASTER,1473
558,351,872,604,4537,jggamezz,GRANDMASTER,904
559,538,570,604,3587,재상재어질현,GRANDMASTER,606
560,233,596,603,4379,qiaqia,GRANDMASTER,638
561,392,579,603,1439,XiaoHuaSheng7,GRANDMASTER,623
562,501,399,603,4568,쪼꼬맹이딸기,GRANDMASTER,436
563,382,367,603,4845,어느새17살,GRANDMASTER,414
564,374,1997,601,4057,GenGQuid,GRANDMASTER,2056
565,92,447,601,3840,nnnnnnmmm,GRANDMASTER,486
566,570,1616,600,4418,FAgyuvee,GRANDMASTER,1621
567,199,1236,598,4762,akdlsemrhclrl,GRANDMASTER,1346
568,135,134,598,4691,피들권위자,GRANDMASTER,180
569,87,189,596,4749,Atlantean,GRANDMASTER,231
570,69,222,595,4781,Senow,GRANDMASTER,334
571,120,208,595,904,jug242,GRANDMASTER,260
572,288,169,595,3633,windwindwindwind,GRANDMASTER,210
573,239,1310,593,4843,DYNBlessing,GRANDMASTER,1373
574,192,1149,592,4568,Limpid123,GRANDMASTER,1167
575,227,1053,592,4763,백색말처럼,GRANDMASTER,1070
