rno,level,lose,name,point,profileIconId,tier,win,summonerName
306,258,918,NULL,831,6,GRANDMASTER,974,ariesika
307,340,518,NULL,831,1630,GRANDMASTER,637,내숭
308,121,335,NULL,830,1625,GRANDMASTER,397,AweYunWAY
309,149,868,NULL,828,4834,GRANDMASTER,947,갈망하다
310,257,552,NULL,828,4832,GRANDMASTER,602,FFlare
311,385,596,NULL,826,2072,GRANDMASTER,647,Lv1갑각류
312,338,721,NULL,825,4535,GRANDMASTER,768,칸나
313,342,656,NULL,825,4838,GRANDMASTER,699,juayo
314,109,495,NULL,822,4784,GRANDMASTER,609,IGsupQ1019458971
315,98,483,NULL,822,4706,GRANDMASTER,577,Str1ve
316,219,836,NULL,821,3890,GRANDMASTER,901,whitelinfeng
317,178,539,NULL,820,4535,GRANDMASTER,595,wuwangxinan
318,153,760,NULL,819,4832,GRANDMASTER,860,jusaka12
319,87,186,NULL,819,23,GRANDMASTER,297,XZPN
320,112,183,NULL,819,7,GRANDMASTER,237,MAKJANG
321,314,569,NULL,818,1160,GRANDMASTER,609,아라가키유이
322,260,871,NULL,815,4833,GRANDMASTER,909,Adachi
323,208,432,NULL,815,4832,GRANDMASTER,533,DWGCanyon
324,89,211,NULL,814,4779,GRANDMASTER,271,5Kld
325,124,667,NULL,813,4659,GRANDMASTER,779,자격이없습니다
326,121,631,NULL,813,4568,GRANDMASTER,742,THEWINDRISESc
327,244,208,NULL,811,4833,GRANDMASTER,264,금붕어왕김농밀
328,181,139,NULL,811,4568,GRANDMASTER,182,승지부기
329,338,514,NULL,810,982,GRANDMASTER,514,MeiTianKun
330,85,347,NULL,807,685,GRANDMASTER,472,DaiYunQing
331,179,255,NULL,807,4817,GRANDMASTER,325,가슴뛰는일
332,240,941,NULL,803,4409,GRANDMASTER,997,북쪽의괴물1
333,219,581,NULL,802,0,GRANDMASTER,632,AFBAekHO
334,202,568,NULL,797,4816,GRANDMASTER,626,detailking
335,235,1326,NULL,796,4673,GRANDMASTER,1400,guyuefangyuan
336,230,1283,NULL,796,3222,GRANDMASTER,1365,11baby
337,190,1231,NULL,796,23,GRANDMASTER,1340,IGQ1749193239
338,62,175,NULL,796,4783,GRANDMASTER,269,wushugeheiye
339,414,1365,NULL,795,4653,GRANDMASTER,1415,GenGOphelia
340,177,1069,NULL,793,4754,GRANDMASTER,1145,yyyyxxxxzzzz
341,279,516,NULL,792,3017,GRANDMASTER,523,JustLikeThatKR
342,147,161,NULL,792,26,GRANDMASTER,221,그럭저럭있는사람
343,266,713,NULL,791,4832,GRANDMASTER,737,pzxzp
344,54,136,NULL,790,4779,GRANDMASTER,185,TLJ
345,204,273,NULL,789,544,GRANDMASTER,340,znhy
346,162,525,NULL,787,3543,GRANDMASTER,592,랭겜에강한남자
347,405,721,NULL,786,4,GRANDMASTER,790,T1Asper
348,204,588,NULL,785,3456,GRANDMASTER,622,Teddy12345
349,225,266,NULL,784,1089,GRANDMASTER,318,주먹밥쿵야1
350,444,477,NULL,783,4297,GRANDMASTER,511,GenGRascal
351,1,211,NULL,781,29,GRANDMASTER,351,lcmlcm
352,121,461,NULL,779,4817,GRANDMASTER,571,kata1000
353,141,353,NULL,779,4368,GRANDMASTER,403,VitalityZywOo
354,197,867,NULL,777,3584,GRANDMASTER,934,reaIIyreaIIyrea1
355,97,198,NULL,777,1114,GRANDMASTER,262,HUYATVUni
356,53,66,NULL,777,933,GRANDMASTER,145,스물다섯번째밤
357,288,1122,NULL,774,4835,GRANDMASTER,1200,숨바꼭질
358,79,199,NULL,774,4832,GRANDMASTER,302,고덕고덕진곰탕
359,118,570,NULL,773,21,GRANDMASTER,695,HLEMorgun1
360,116,333,NULL,772,4568,GRANDMASTER,379,밧형욱
361,130,368,NULL,771,4550,GRANDMASTER,431,불의에
362,375,1108,NULL,770,4832,GRANDMASTER,1143,따균좌
363,73,169,NULL,770,6,GRANDMASTER,226,넘기다
364,298,637,NULL,769,3788,GRANDMASTER,682,아잠온다아
365,449,1459,NULL,766,4834,GRANDMASTER,1476,HLE보우거야
366,192,577,NULL,766,3542,GRANDMASTER,627,최선을다하자항상
367,76,269,NULL,766,4781,GRANDMASTER,396,kedaya1hao
368,108,152,NULL,766,4816,GRANDMASTER,222,규S2리
369,327,865,NULL,765,3788,GRANDMASTER,886,깨물이드래곤
370,172,505,NULL,764,1297,GRANDMASTER,581,gejutaixiao
371,320,235,NULL,764,3313,GRANDMASTER,297,Stitchy
372,345,1296,NULL,763,4705,GRANDMASTER,1331,GenGMeaning
